qc_id,medidor,ilicito,mt,anom_slect,anom_clect,comentario,fecha,hora,lat y,lon x,icon_url
"0",006mu0,NO,NO,NA,C5-SinSello,,2021/11/01,12:45:24,25.68274,-100.34319,./0.png
"1",008dpx,NO,NO,NA,NA,,2021/11/01,2:45:50,25.67659,-100.33786,./0.png
"2",0130ry,NO,NO,NA,M-Obsoleto,,2021/11/01,12:51:26,25.68167,-100.34332,./0.png
"3",0168vc,NO,NO,NA,NA,,2021/11/01,1:42:25,25.6782,-100.3387,./0.png
"4",029bly,NO,NO,NA,NA,,2021/11/01,2:26:02,25.67626,-100.338,./0.png
"5",02y73v,NO,NO,NA,NA,,2021/11/01,12:52:47,25.68283,-100.34303,./0.png
"6",033he6,NO,NO,NA,NA,,2021/11/01,2:11:47,25.67721,-100.33873,./0.png
"7",040dpx,NO,NO,NA,NA,,2021/11/01,1:08:32,25.68235,-100.3433,./0.png
"8",063b8v,NO,NO,NA,C5-SinSello,,2021/11/01,12:29:00,25.68411,-100.34299,./0.png
"9",06e3n3,NO,SI,NA,NA,,2021/11/01,12:56:20,25.68213,-100.34284,./0.png
"10",06x6a3,NO,NO,NA,C5-SinSello,,2021/11/01,12:36:59,25.68315,-100.34309,./0.png
"11",070hau,NO,NO,NA,NA,ok,2021/11/01,1:46:45,25.68279,-100.3455,./0.png
"12",073b4v,NO,NO,NA,NA,ok,2021/11/01,12:42:20,25.68296,-100.34407,./0.png
"13",09w37j,NO,NO,NA,NA,,2021/11/01,1:25:59,25.67713,-100.33978,./0.png
"14",0c158c,NO,NO,NA,NA,,2021/11/01,12:42:27,25.68342,-100.34161,./0.png
"15",0d004b,NO,NO,NA,C5-SinSello,,2021/11/01,1:00:07,25.68193,-100.34259,./0.png
"16",0r519j,NO,NO,NA,NA,ok,2021/11/01,12:53:15,25.68151,-100.34363,./0.png
"17",0t187l,NO,NO,NA,NA,,2021/11/01,1:28:29,25.67774,-100.33941,./0.png
"18",0w82u4,NO,NO,NA,C5-SinSello,,2021/11/01,12:52:41,25.68151,-100.34363,./0.png
"19",0yw934,NO,NO,NA,NA,,2021/11/01,1:43:15,25.67807,-100.33834,./0.png
"20",102mu5,NO,NO,NA,NA,,2021/11/01,2:46:35,25.67742,-100.33783,./0.png
"21",109n7j,NO,NO,NA,NA,,2021/11/01,12:43:46,25.68344,-100.34144,./0.png
"22","116803",NO,NO,NA,C8-BaseA,,2021/11/01,2:39:45,25.67703,-100.33819,./0.png
"23",117n8j,NO,NO,NA,NA,,2021/11/01,1:16:20,25.67754,-100.34099,./0.png
"24",11ef44,NO,NO,NA,C5-SinSello,,2021/11/01,1:06:52,25.68224,-100.34408,./0.png
"25",120n5j,NO,NO,NA,NA,,2021/11/01,1:16:10,25.67754,-100.34099,./0.png
"26",120vg9,NO,NO,NA,NA,ok,2021/11/01,12:53:50,25.68269,-100.3437,./0.png
"27",124n0j,NO,NO,NA,NA,,2021/11/01,1:16:54,25.6777,-100.34084,./0.png
"28",12d0r1,NO,NO,NA,C5-SinSello,,2021/11/01,1:08:15,25.68223,-100.34428,./0.png
"29",12p2c7,NO,NO,NA,NA,,2021/11/01,1:32:24,25.67735,-100.33936,./0.png
"30",134n3j,NO,NO,NA,NA,,2021/11/01,1:16:35,25.67754,-100.34099,./0.png
"31",139bly,NO,NO,NA,NA,ok,2021/11/01,12:56:08,25.68163,-100.34421,./0.png
"32",139dpx,NO,NO,NA,NA,,2021/11/01,1:09:29,25.68222,-100.34333,./0.png
"33",13h75u,NO,NO,NA,NA,,2021/11/01,1:16:58,25.68235,-100.34451,./0.png
"34",145wu0,NO,NO,NA,NA,,2021/11/01,2:24:01,25.67637,-100.33833,./0.png
"35",14c2w4,NO,NO,NA,NA,,2021/11/01,2:24:37,25.67637,-100.33833,./0.png
"36",14nl24,NO,NO,NA,NA,,2021/11/01,2:43:24,25.67678,-100.33771,./0.png
"37",157jcr,NO,NO,NA,NA,,2021/11/01,2:51:24,25.67704,-100.33737,./0.png
"38",159g1f,NO,NO,NA,C5-SinSello,,2021/11/01,12:36:49,25.68315,-100.34309,./0.png
"39",162af3,NO,NO,NA,NA,ok,2021/11/01,1:52:44,25.68198,-100.34592,./0.png
"40",167tru,NO,NO,NA,C5-SinSello,,2021/11/01,1:01:50,25.68196,-100.343,./0.png
"41",168gm3,NO,NO,NA,NA,,2021/11/01,2:52:26,25.67686,-100.33665,./0.png
"42",173x8b,NO,NO,NA,NA,,2021/11/01,1:19:43,25.67756,-100.34078,./0.png
"43",174x5b,NO,NO,NA,NA,,2021/11/01,1:19:54,25.67731,-100.34041,./0.png
"44",175x5b,NO,NO,NA,NA,,2021/11/01,1:20:26,25.67731,-100.34041,./0.png
"45",17h01r,NO,SI,NA,NA,ok,2021/11/01,12:53:39,25.68154,-100.34379,./0.png
"46",182x4b,NO,NO,NA,NA,,2021/11/01,1:20:05,25.67731,-100.34041,./0.png
"47",188x0b,NO,NO,NA,NA,,2021/11/01,1:20:16,25.67731,-100.34041,./0.png
"48",1b457x,NO,NO,NA,NA,,2021/11/01,2:19:08,25.67675,-100.33844,./0.png
"49",1e45p1,NO,NO,NA,NA,,2021/11/01,1:36:32,25.6777,-100.33871,./0.png
"50",1j383x,NO,NO,NA,NA,,2021/11/01,2:18:02,25.67675,-100.33844,./0.png
"51",1jf003,NO,NO,NA,M-Obsoleto,,2021/11/01,1:49:53,25.68269,-100.34591,./0.png
"52",1nd090,NO,NO,NA,NA,,2021/11/01,1:19:52,25.67743,-100.34051,./0.png
"53",1nd776,NO,NO,NA,NA,,2021/11/01,2:43:03,25.67713,-100.33774,./0.png
"54",1t810d,NO,NO,NA,C5-SinSello,,2021/11/01,12:30:10,25.68375,-100.34212,./0.png
"55",1w24u5,NO,NO,NA,NA,,2021/11/01,1:32:01,25.67711,-100.33908,./0.png
"56",1w413e,NO,NO,NA,NA,,2021/11/01,1:53:04,25.68207,-100.34573,./0.png
"57",203gp9,NO,NO,NA,NA,ok,2021/11/01,12:40:33,25.68335,-100.34144,./0.png
"58",206fka,NO,NO,NA,NA,,2021/11/01,2:44:40,25.67737,-100.33763,./0.png
"59",219ve3,NO,NO,NA,NA,,2021/11/01,2:28:19,25.67694,-100.33829,./0.png
"60",21w32a,NO,NO,NA,NA,,2021/11/01,1:54:59,25.68175,-100.34601,./0.png
"61",224ve5,NO,NO,NA,NA,,2021/11/01,2:28:07,25.67694,-100.33829,./0.png
"62",226gp9,NO,NO,NA,C5-SinSello,,2021/11/01,12:38:41,25.68342,-100.34174,./0.png
"63",231ad1,NO,SI,NA,NA,,2021/11/01,12:08:44,25.67663,-100.34157,./0.png
"64",237w8y,NO,NO,NA,NA,,2021/11/01,1:22:24,25.67736,-100.34032,./0.png
"65",23e70c,NO,NO,NA,NA,,2021/11/01,1:35:52,25.67763,-100.33889,./0.png
"66",23ph61,NO,NO,NA,NA,,2021/11/01,12:44:49,25.68334,-100.34127,./0.png
"67",257gyw,NO,NO,NA,NA,ok,2021/11/01,1:52:28,25.68198,-100.34592,./0.png
"68",25m4v5,NO,NO,NA,NA,,2021/11/01,2:39:30,25.67713,-100.33803,./0.png
"69",26d2d3,NO,NO,NA,NA,ok,2021/11/01,1:07:47,25.68223,-100.34428,./0.png
"70",27m6k8,NO,NO,NA,NA,,2021/11/01,12:31:19,25.68412,-100.34258,./0.png
"71",29d6c8,NO,NO,NA,NA,ok,2021/11/01,1:08:02,25.68223,-100.34428,./0.png
"72",29h74e,NO,NO,NA,NA,,2021/11/01,2:43:19,25.67713,-100.33774,./0.png
"73",2a0p14,NO,SI,NA,NA,iglesia,2021/11/01,1:01:01,25.68152,-100.34323,./0.png
"74",2a0y84,NO,NO,NA,NA,,2021/11/01,2:29:47,25.67727,-100.33821,./0.png
"75",2a5x30,NO,NO,NA,NA,ok,2021/11/01,12:41:40,25.68296,-100.34407,./0.png
"76",2a5x30,NO,NO,NA,NA,ok,2021/11/01,12:49:13,25.68301,-100.34339,./0.png
"77",2c51c9,NO,NO,NA,NA,,2021/11/01,1:41:43,25.67794,-100.33858,./0.png
"78",2f55l9,NO,NO,NA,NA,,2021/11/01,2:30:02,25.67774,-100.33819,./0.png
"79",2f7b58,NO,NO,NA,NA,,2021/11/01,1:37:19,25.6777,-100.33871,./0.png
"80",2n2v37,NO,NO,NA,NA,,2021/11/01,2:23:48,25.67614,-100.33797,./0.png
"81",2t191r,NO,NO,NA,NA,,2021/11/01,1:15:24,25.67766,-100.34083,./0.png
"82",2u941v,NO,NO,NA,NA,,2021/11/01,12:50:24,25.68323,-100.34194,./0.png
"83",2w2v71,NO,NO,NA,NA,,2021/11/01,2:23:00,25.67613,-100.33833,./0.png
"84",2w48u6,NO,NO,NA,NA,,2021/11/01,2:20:41,25.67634,-100.33856,./0.png
